Module	Section	Sample Name	Source
FastQC	all_sections	dorado_barcode14	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode14_fastqc.zip
FastQC	all_sections	dorado_barcode15	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode15_fastqc.zip
FastQC	all_sections	dorado_barcode16	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode16_fastqc.zip
FastQC	all_sections	dorado_barcode17	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode17_fastqc.zip
FastQC	all_sections	dorado_barcode18	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode18_fastqc.zip
FastQC	all_sections	dorado_barcode19	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode19_fastqc.zip
FastQC	all_sections	dorado_barcode20	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode20_fastqc.zip
FastQC	all_sections	dorado_barcode21	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode21_fastqc.zip
FastQC	all_sections	dorado_barcode23	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode23_fastqc.zip
FastQC	all_sections	dorado_barcode24	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode24_fastqc.zip
FastQC	all_sections	dorado_unclassified	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_unclassified_fastqc.zip
FastQC	all_sections	minknow_barcode01	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode01_fastqc.zip
FastQC	all_sections	minknow_barcode02	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode02_fastqc.zip
FastQC	all_sections	minknow_barcode03	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode03_fastqc.zip
FastQC	all_sections	minknow_barcode04	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode04_fastqc.zip
FastQC	all_sections	minknow_barcode05	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode05_fastqc.zip
FastQC	all_sections	minknow_barcode06	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode06_fastqc.zip
FastQC	all_sections	minknow_barcode07	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode07_fastqc.zip
FastQC	all_sections	minknow_barcode08	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode08_fastqc.zip
FastQC	all_sections	minknow_barcode09	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode09_fastqc.zip
FastQC	all_sections	minknow_barcode10	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode10_fastqc.zip
FastQC	all_sections	minknow_barcode11	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode11_fastqc.zip
FastQC	all_sections	minknow_barcode12	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode12_fastqc.zip
FastQC	all_sections	minknow_barcode13	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode13_fastqc.zip
FastQC	all_sections	minknow_barcode14	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode14_fastqc.zip
FastQC	all_sections	minknow_barcode15	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode15_fastqc.zip
FastQC	all_sections	minknow_barcode16	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode16_fastqc.zip
FastQC	all_sections	minknow_barcode17	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode17_fastqc.zip
FastQC	all_sections	minknow_barcode18	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode18_fastqc.zip
FastQC	all_sections	minknow_barcode19	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode19_fastqc.zip
FastQC	all_sections	minknow_barcode20	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_barcode20_fastqc.zip
FastQC	all_sections	minknow_unclassified	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/minknow/minknow_unclassified_fastqc.zip
